tool_id,family,name,shortcut,status,prerequisite,output,evidence
TOOL-001,Marquee,Rectangular Marquee Tool,M,VISUALLY_INSPECTED,open document,selection,evidence/tools/screenshots/100_tool_marquee_flyout_0.jpg
TOOL-002,Marquee,Elliptical Marquee Tool,M,VISUALLY_INSPECTED,open document,selection,evidence/tools/screenshots/100_tool_marquee_flyout_0.jpg
TOOL-003,Marquee,Single Row Marquee Tool,,VISUALLY_INSPECTED,open document,selection,evidence/tools/screenshots/100_tool_marquee_flyout_0.jpg
TOOL-004,Marquee,Single Column Marquee Tool,,VISUALLY_INSPECTED,open document,selection,evidence/tools/screenshots/100_tool_marquee_flyout_0.jpg
TOOL-005,Move,Move Tool,V,VISUALLY_INSPECTED,open document,document pixels,evidence/tools/screenshots/101_tool_move_flyout_0.jpg
TOOL-006,Lasso,Lasso Tool,L,VISUALLY_INSPECTED,open document,selection,evidence/tools/screenshots/102_tool_lasso_flyout_0.jpg
TOOL-007,Lasso,Polygonal Lasso Tool,L,VISUALLY_INSPECTED,open document,selection,evidence/tools/screenshots/102_tool_lasso_flyout_0.jpg
TOOL-008,Lasso,Magnetic Lasso Tool,L,VISUALLY_INSPECTED,open document,selection,evidence/tools/screenshots/102_tool_lasso_flyout_0.jpg
TOOL-009,Selection,Quick Selection Tool,W,VISUALLY_INSPECTED,open document,selection,evidence/tools/screenshots/103_tool_quick_selection_flyout_0.jpg
TOOL-010,Selection,Magic Wand Tool,W,VISUALLY_INSPECTED,open document,selection,evidence/tools/screenshots/103_tool_quick_selection_flyout_0.jpg
TOOL-011,Crop,Crop Tool,C,VISUALLY_INSPECTED,open document,document pixels,evidence/tools/screenshots/104_tool_crop_flyout_0.jpg
TOOL-012,Crop,Perspective Crop Tool,C,VISUALLY_INSPECTED,open document,document pixels,evidence/tools/screenshots/104_tool_crop_flyout_0.jpg
TOOL-013,Crop,Slice Tool,C,VISUALLY_INSPECTED,open document,document pixels,evidence/tools/screenshots/104_tool_crop_flyout_0.jpg
TOOL-014,Crop,Slice Select Tool,C,VISUALLY_INSPECTED,open document,document pixels,evidence/tools/screenshots/104_tool_crop_flyout_0.jpg
TOOL-015,Sampling,Eyedropper Tool,I,VISUALLY_INSPECTED,open document,document pixels,evidence/tools/screenshots/105_tool_eyedropper_flyout_0.jpg
TOOL-016,Sampling,Color Sampler Tool,I,VISUALLY_INSPECTED,open document,document pixels,evidence/tools/screenshots/105_tool_eyedropper_flyout_0.jpg
TOOL-017,Sampling,Ruler Tool,I,VISUALLY_INSPECTED,open document,document pixels,evidence/tools/screenshots/105_tool_eyedropper_flyout_0.jpg
